Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Artikel,Plural
Lieblingsspeise,غذای مورد علاقه,favorite dish,Pizza ist meine Lieblingsspeise.,پیتزا غذای مورد علاقه من است.,die,die Lieblingsspeisen
Nationalgericht,غذای ملی,national dish,Was ist das Nationalgericht von Iran?,غذای ملی ایران چیست؟,das,die Nationalgerichte
abschließend,در پایان,concluding / finally,Abschließend möchte ich sagen, dass ...,در پایان می‌خواهم بگویم که ...,-,(Adv)
Hauptteil,بخش اصلی,main part,Der Hauptteil des Films war langweilig.,بخش اصلی فیلم کسل‌کننده بود.,der,die Hauptteile
ablesen,روخوانی کردن,to read off,Bitte lesen Sie den Text laut ab.,لطفاً متن را بلند روخوانی کنید.,-,(Verb)
deutlich,واضح / روشن,clear / distinct,Sprechen Sie bitte deutlich.,لطفاً واضح صحبت کنید.,-,(Adj)
Zuhörer,شنونده,listener,Die Zuhörer waren begeistert.,شنوندگان هیجان‌زده بودند.,der,die Zuhörer
Feedback,بازخورد,feedback,Gib mir bitte Feedback zu meinem Text.,لطفاً به متن من بازخورد بده.,das,die Feedbacks
noch,دیگر / هنوز,else / still,Wo können wir uns noch verbessern?,کجا دیگر می‌توانیم پیشرفت کنیم؟,-,(Adv)
Tischgespräch,گفتگوی سر میز,table conversation,Das Tischgespräch war sehr nett.,گفتگوی سر میز خیلی خوب بود.,das,die Tischgespräche
Haltestelle,ایستگاه,bus/tram stop,Wir müssen an der nächsten Haltestelle aussteigen.,ما باید در ایستگاه بعدی پیاده شویم.,die,die Haltestellen
niesen,عطسه کردن,to sneeze,Er muss wegen des Staubs niesen.,او به خاطر گرد و خاک عطسه می‌کند.,-,(Verb)
kulturell,فرهنگی,cultural,Wir interessieren uns für kulturelle Unterschiede.,ما به تفاوت‌های فرهنگی علاقه‌مندیم.,-,(Adj)
Missverständnis,سوءتفاهم,misunderstanding,Es gab ein kleines Missverständnis.,یک سوءتفاهم کوچک پیش آمد.,das,die Missverständnisse
tabu,تابو / ممنوع,taboo,Über Geld zu sprechen ist hier tabu.,صحبت کردن در مورد پول اینجا تابو است.,-,(Adj)
mehrsprachig,چندزبانه,multilingual,Die Schweiz ist ein mehrsprachiges Land.,سوئیس یک کشور چندزبانه است.,-,(Adj)
Intensivkurs,دوره فشرده,intensive course,Ich mache einen Intensivkurs in Deutsch.,من یک دوره فشرده آلمانی می‌گذرانم.,der,die Intensivkurse
schriftlich,کتبی,written,Die Prüfung ist schriftlich.,امتحان کتبی است.,-,(Adj)
Sprachprofil,پروفایل زبانی,language profile,Erstellen Sie Ihr persönliches Sprachprofil.,پروفایل زبانی شخصی خود را بسازید.,das,die Sprachprofile
Volkshochschule,دانشگاه مردمی (آموزشگاه بزرگسالان),adult education center,Ich lerne Spanisch an der Volkshochschule.,من در دانشگاه مردمی اسپانیایی یاد می‌گیرم.,die,die Volkshochschulen
anhören,گوش دادن,to listen to,Hör dir diesen Song an.,به این آهنگ گوش بده.,-,(Verb)
WhatsApp-Nachricht,پیام واتس‌اپ,WhatsApp message,Ich habe dir eine WhatsApp-Nachricht geschickt.,من برایت یک پیام واتس‌اپ فرستادم.,die,die WhatsApp-Nachrichten
Beispielsatz,جمله نمونه,example sentence,Bilde einen Beispielsatz mit diesem Wort.,با این کلمه یک جمله نمونه بساز.,der,die Beispielsätze
Karteikarte,فلش‌کارت / کارت نمایه,flashcard,Ich lerne Vokabeln mit Karteikarten.,من لغات را با فلش‌کارت یاد می‌گیرم.,die,die Karteikarten
Lerngruppe,گروه یادگیری,study group,Wir treffen uns in der Lerngruppe.,ما در گروه یادگیری همدیگر را می‌بینیم.,die,die Lerngruppen
Sprach-App,اپلیکیشن زبان,language app,Welche Sprach-App benutzt du?,از کدام اپلیکیشن زبان استفاده می‌کنی؟,die,die Sprach-Apps
Sprachenlernen,یادگیری زبان,language learning,Sprachenlernen macht Spaß.,یادگیری زبان لذت‌بخش است.,das,-
Art,نوع / روش,type / way,Das ist eine besondere Art von Kunst.,این یک نوع خاص از هنر است.,die,die Arten
bereit,آماده,ready,Bist du bereit?,آیا آماده‌ای؟,-,(Adj)
beschließen,تصمیم گرفتن,to decide,Wir haben beschlossen, umzuziehen.,ما تصمیم گرفتیم اسباب‌کشی کنیم.,-,(Verb)
Deutschsprechen,صحبت کردن به آلمانی,speaking German,Das Deutschsprechen fällt mir noch schwer.,صحبت کردن به آلمانی هنوز برایم سخت است.,das,-
entschlossen,مصمم,determined,Er ist fest entschlossen.,او کاملاً مصمم است.,-,(Adj)
Gelegenheit,فرصت / موقعیت,opportunity,Das ist eine gute Gelegenheit.,این یک فرصت خوب است.,die,die Gelegenheiten
herunterladen,دانلود کردن,to download,Ich muss die Datei herunterladen.,من باید فایل را دانلود کنم.,-,(Verb)
in Zukunft,در آینده,in future,In Zukunft möchte ich mehr reisen.,در آینده می‌خواهم بیشتر سفر کنم.,-,(Phrase)
Tandempartner,شریک زبان‌آموزی (تاند م),tandem partner,Ich suche einen Tandempartner für Englisch.,من دنبال یک شریک زبان‌آموزی برای انگلیسی می‌گردم.,der,die Tandempartner
Futur,زمان آینده,future tense,Wir lernen heute das Futur.,ما امروز زمان آینده را یاد می‌گیریم.,das,-
allmählich,به تدریج / کم‌کم,gradually,Es wird allmählich dunkel.,هوا کم‌کم تاریک می‌شود.,-,(Adv)
ängstlich,ترسو / نگران,anxious / fearful,Das Kind ist sehr ängstlich.,کودک بسیار ترسو است.,-,(Adj)
anstrengen (sich),تلاش کردن / به خود فشار آوردن,to make an effort,Du musst dich mehr anstrengen.,تو باید بیشتر تلاش کنی.,-,(Verb)
anwenden,به کار بردن,to apply / use,Kannst du die Regel anwenden?,آیا می‌توانی قاعده را به کار ببری؟,-,(Verb)
Erfolgserlebnis,تجربه موفقیت,sense of achievement,Das war ein tolles Erfolgserlebnis.,این یک تجربه موفقیت عالی بود.,das,die Erfolgserlebnisse
Herausforderung,چالش,challenge,Das Projekt ist eine große Herausforderung.,این پروژه یک چالش بزرگ است.,die,die Herausforderungen
Langeweile,بی‌حوصلگی,boredom,Ich sterbe vor Langeweile.,من از بی‌حوصلگی می‌میرم.,die,-
Laune,حوصله / حال,mood,Er hat heute gute Laune.,او امروز حالش خوب است.,die,die Launen
Nervosität,عصبانیت / اضطراب,nervousness,Seine Nervosität war deutlich zu sehen.,اضطراب او به وضوح دیده می‌شد.,die,-
seitdem,از آن زمان,since then,Sie ist umgezogen, seitdem habe ich sie nicht gesehen.,او اسباب‌کشی کرده، از آن زمان او را ندیده‌ام.,-,(Adv)
stolz,مفتخر / مغرور,proud,Ich bin stolz auf dich.,من به تو افتخار می‌کنم.,-,(Adj)
trauen,جرأت کردن / اعتماد کردن,to dare / trust,Ich traue mich nicht.,من جرأت نمی‌کنم.,-,(Verb)
Voraussetzung,پیش‌شرط,prerequisite,Gute Deutschkenntnisse sind Voraussetzung.,دانش خوب آلمانی پیش‌شرط است.,die,die Voraussetzungen
Vorstellungsgespräch,مصاحبه کاری,job interview,Ich habe morgen ein Vorstellungsgespräch.,من فردا یک مصاحبه کاری دارم.,das,die Vorstellungsgespräche
weggehen,رفت‌ و آمدن (از جایی) / ناپدید شدن,to go away,Der Fleck geht nicht weg.,لکه از بین نمی‌رود (پاک نمی‌شود).,-,(Verb)
Witz,جوک / شوخی,joke,Er hat einen lustigen Witz erzählt.,او یک جوک بامزه تعریف کرد.,der,die Witze
zufällig,اتفاقی,accidentally / by chance,Wir haben uns zufällig getroffen.,ما اتفاقی همدیگر را دیدیم.,-,(Adj)
Sprachkenntnis,دانش زبانی,language skill,Er hat gute Sprachkenntnisse.,او دانش زبانی خوبی دارد.,die,die Sprachkenntnisse
Zugfahrt,سفر با قطار,train journey,Die Zugfahrt dauert zwei Stunden.,سفر با قطار دو ساعت طول می‌کشد.,die,die Zugfahrten
berühren,لمس کردن,to touch,Bitte nicht berühren!,لطفاً لمس نکنید!,-,(Verb)
Distanz,فاصله,distance,Halten Sie bitte Distanz.,لطفاً فاصله را حفظ کنید.,die,die Distanzen
Kuss,بوسه,kiss,Er gab ihr einen Kuss.,او به او یک بوسه داد.,der,die Küsse
ungewöhnlich,غیرمعمول,unusual,Das ist ein ungewöhnlicher Name.,این یک اسم غیرمعمول است.,-,(Adj)
üblich,معمول / رایج,usual / common,In Deutschland ist das üblich.,در آلمان این رایج است.,-,(Adj)
Aussagesatz,جمله خبری,declarative sentence,Bilden Sie einen Aussagesatz.,یک جمله خبری بسازید.,der,die Aussagesätze
gleichzeitig,همزمان,simultaneously,Alle redeten gleichzeitig.,همه همزمان صحبت می‌کردند.,-,(Adj)
Satzzeichen,علامت نگارشی,punctuation mark,Beachten Sie die Satzzeichen.,به علائم نگارشی توجه کنید.,das,die Satzzeichen
Gegenteil,متضاد / برعکس,opposite,Das Gegenteil von groß ist klein.,متضاد بزرگ، کوچک است.,das,die Gegenteile
kritisieren,انتقاد کردن,to criticize,Man darf nicht immer nur kritisieren.,آدم نباید همیشه فقط انتقاد کند.,-,(Verb)
Respekt,احترام,respect,Ich habe großen Respekt vor ihr.,من احترام زیادی برای او قائلم.,der,-
beleidigt,توهین شده / رنجیده,offended,Warum bist du beleidigt?,چرا رنجیده‌ای؟,-,(Adj)
bemerken,متوجه شدن,to notice,Ich habe nichts bemerkt.,من متوجه چیزی نشدم.,-,(Verb)
beweisen,ثابت کردن,to prove,Kannst du das beweisen?,می‌توانی این را ثابت کنی؟,-,(Verb)
erschrocken,وحشت‌زده,frightened,Sie sah erschrocken aus.,او وحشت‌زده به نظر می‌رسید.,-,(Adj)
genervt,عصبی / کلافه,annoyed,Er ist genervt von dem Lärm.,او از سر و صدا کلافه است.,-,(Adj)
irgendwie,یک‌جوری / به نحوی,somehow,Irgendwie schaffen wir das.,یک‌جوری از پسش برمی‌آییم.,-,(Adv)
sauer,عصبانی (محاوره) / ترش,angry / sour,Mein Chef ist sauer auf mich.,رئیسم از دست من عصبانی است.,-,(Adj)
was für ein,چه نوع / چه جور,what kind of,Was für ein Auto hast du?,چه ماشین داری؟,-,(Phrase)
behalten,نگه داشتن,to keep,Du kannst das Buch behalten.,تو می‌توانی کتاب را نگه داری.,-,(Verb)
bloß,فقط (تأکید),just / only,Komm bloß nicht zu spät!,فقط دیر نیایی‌ها!,-,(Partikel)
erfahren,مطلع شدن / تجربه کردن,to find out / experience,Von wem hast du das erfahren?,از چه کسی این را شنیدی (مطلع شدی)؟,-,(Verb)
ernsthaft,جدی,serious,Meinst du das ernsthaft?,آیا جدی می‌گویی؟,-,(Adj)
gründen,تأسیس کردن,to found / establish,Sie wollen eine Firma gründen.,آن‌ها می‌خواهند یک شرکت تأسیس کنند.,-,(Verb)
klar,روشن / واضح,clear,Mit klarer Kommunikation ist es einfacher.,با ارتباط روشن آسان‌تر است.,-,(Adj)
Kommunikation,ارتباط,communication,Die Kommunikation ist wichtig.,ارتباط مهم است.,die,die Kommunikationen
Konflikt,تضاد / درگیری,conflict,Wir müssen den Konflikt lösen.,ما باید درگیری را حل کنیم.,der,die Konflikte
leisten,انجام دادن / توانایی مالی داشتن,to achieve / afford,Ich kann mir das nicht leisten.,من توانایی مالی خرید این را ندارم.,-,(Verb)
optimistisch,خوش‌بین,optimistic,Bleib optimistisch!,خوش‌بین بمان!,-,(Adj)
Sorge,نگرانی,worry,Mach dir keine Sorgen.,نگران نباش.,die,die Sorgen
tolerant,بردبار / باگذشت,tolerant,Man muss tolerant sein.,آدم باید بردبار باشد.,-,(Adj)
übrigens,راستی / ضمناً,by the way,Übrigens, ich habe den Job bekommen.,راستی، من کار را گرفتم.,-,(Adv)
verzeihen,بخشیدن,to forgive,Kannst du mir verzeihen?,آیا می‌توانی مرا ببخشی؟,-,(Verb)
Panik,وحشت / پنیک,panic,Keine Panik!,وحشت نکنید!,die,die Paniken
runterfallen,پایین افتادن,to fall down,Das Glas ist runtergefallen.,لیوان پایین افتاد.,-,(Verb)
Kinderwunsch,آرزوی داشتن فرزند,desire to have children,Sie haben einen Kinderwunsch.,آن‌ها آرزوی داشتن فرزند دارند.,der,die Kinderwünsche
Politik,سیاست,politics,Ich interessiere mich nicht für Politik.,من به سیاست علاقه ندارم.,die,-
Religion,مذهب / دین,religion,Religion ist Privatsache.,مذهب یک مسئله شخصی است.,die,die Religionen
amüsieren (sich),سرگرم شدن / خوش گذراندن,to amuse oneself,Wir haben uns gut amüsiert.,ما خوب خوش گذراندیم.,-,(Verb)
augenblicklich,فوری / در حال حاضر,instant / currently,Augenblicklich habe ich keine Zeit.,در حال حاضر وقت ندارم.,-,(Adv)
ausweichend,طفره‌آمیز,evasive,Er gab eine ausweichende Antwort.,او یک پاسخ طفره‌آمیز داد.,-,(Adj)
dabei,در حالی که / با این وجود,at the same time / yet,Dabei hat er nur gefragt.,با این وجود او فقط سوال کرد.,-,(Adv)
höchstens,حداکثر,at most,Das dauert höchstens eine Stunde.,این حداکثر یک ساعت طول می‌کشد.,-,(Adv)
Kultur,فرهنگ,culture,Wir lernen viel über die Kultur.,ما چیزهای زیادی درباره فرهنگ یاد می‌گیریم.,die,die Kulturen
merkwürdig,عجیب,strange,Das ist sehr merkwürdig.,این خیلی عجیب است.,-,(Adj)
offenbar,ظاهراً,obviously / apparently,Offenbar hat er es vergessen.,ظاهراً او فراموش کرده است.,-,(Adj)
Öffentlichkeit,عموم مردم / انظار عمومی,public,Das wurde in der Öffentlichkeit diskutiert.,این در انظار عمومی بحث شد.,die,-
retten,نجات دادن,to save / rescue,Er hat das Kind gerettet.,او کودک را نجات داد.,-,(Verb)
schließlich,سرانجام / بالاخره,finally / after all,Schließlich haben wir es geschafft.,سرانجام ما موفق شدیم.,-,(Adv)
seltsam,عجیب و غریب,odd / strange,Er benimmt sich seltsam.,او رفتار عجیب و غریبی دارد.,-,(Adj)
sprachlich,زبانی,linguistic,Es gibt sprachliche Unterschiede.,تفاوت‌های زبانی وجود دارد.,-,(Adj)
behandeln,درمان کردن / رفتار کردن,to treat,Der Arzt behandelt den Patienten.,پزشک بیمار را درمان می‌کند.,-,(Verb)
geschehen,اتفاق افتادن,to happen,Was ist geschehen?,چه اتفاقی افتاده است؟,-,(Verb)
Appetit,اشتها,appetite,Guten Appetit!,نوش جان! (اشتهای خوب),der,-
brechen,شکستن,to break,Er hat sich das Bein gebrochen.,پای او شکسته است.,-,(Verb)
läuten,زنگ زدن,to ring,Das Telefon läutet.,تلفن زنگ می‌زند.,-,(Verb)
Röntgenbild,عکس رادیولوژی,X-ray image,Das Röntgenbild zeigt den Bruch.,عکس رادیولوژی شکستگی را نشان می‌دهد.,das,die Röntgenbilder
Spritze,آمپول / تزریق,injection / syringe,Ich habe Angst vor Spritzen.,من از آمپول می‌ترسم.,die,die Spritzen
stürzen,سقوط کردن / زمین خوردن,to fall / plunge,Die alte Dame ist gestürzt.,خانم مسن زمین خورد.,-,(Verb)
Untersuchung,معاینه / تحقیق,examination,Der Arzt kommt gleich für die Untersuchung.,پزشک برای معاینه همین الان می‌آید.,die,die Untersuchungen
Verletzung,جراحت / آسیب,injury,Die Verletzung ist nicht schlimm.,جراحت وخیم نیست.,die,die Verletzungen
Wunde,زخم,wound,Die Wunde muss genäht werden.,زخم باید بخیه شود.,die,die Wunden
Gesundheitsberuf,شغل مرتبط با سلامت,health profession,Er arbeitet in einem Gesundheitsberuf.,او در یک شغل مرتبط با سلامت کار می‌کند.,der,die Gesundheitsberufe
Glatteis,یخ‌زدگی سطح معابر,black ice,Vorsicht bei Glatteis!,مراقب یخ‌زدگی معابر باشید!,das,-
Utensil,وسیله / ابزار,utensil,Wir brauchen Küchenutensilien.,ما به وسایل آشپزخانه نیاز داریم.,das,die Utensilien
verletzen,زخمی کردن / آسیب رساندن,to injure,Er hat sich am Arm verletzt.,او بازویش را زخمی کرد.,-,(Verb)
verschneit,پوشیده از برف,snowy / snow-covered,Die Landschaft ist verschneit.,منظره پوشیده از برف است.,-,(Adj)
Zehenspitze,نوک پنجه پا,tiptoe,Sie ging auf Zehenspitzen.,او روی نوک پنجه راه رفت.,die,die Zehenspitzen
zusammenknüllen,مچاله کردن,to crumple up,Er knüllte das Papier zusammen.,او کاغذ را مچاله کرد.,-,(Verb)
ansprechbar,هوشیار / قابل گفتگو,responsive / approachable,Der Patient ist nicht ansprechbar.,بیمار هوشیار نیست.,-,(Adj)
Notrufzentrale,مرکز تماس اضطراری,emergency control center,Rufen Sie die Notrufzentrale an.,با مرکز تماس اضطراری تماس بگیرید.,die,die Notrufzentralen
Rettungswagen,آمبولانس,ambulance,Der Rettungswagen kommt sofort.,آمبولانس فوراً می‌آید.,der,die Rettungswagen
aufeinander,روی یکدیگر,on top of each other,Die Kisten stehen aufeinander.,جعبه‌ها روی یکدیگر قرار دارند.,-,(Adv)
dieselbe,همان,the same,Sie trägt dieselbe Jacke wie ich.,او همان کاپشنی را پوشیده که من پوشیدم.,-,(Pron)
Magen,معده,stomach,Ich habe Schmerzen im Magen.,من در معده درد دارم.,der,die Mägen
Wortgrenze,مرز کلمه,word boundary,Markieren Sie die Wortgrenzen.,مرزهای کلمه را علامت بزنید.,die,die Wortgrenzen
bluten,خونریزی کردن,to bleed,Die Wunde blutet stark.,زخم به شدت خونریزی می‌کند.,-,(Verb)
verbrennen (sich),سوختن (عضو بدن),to burn (oneself),Ich habe mich am Ofen verbrannt.,من خودم را با اجاق سوزاندم.,-,(Verb)
Notaufnahme,بخش اورژانس,emergency room,Wir müssen in die Notaufnahme.,ما باید به بخش اورژانس برویم.,die,die Notaufnahmen
ab und zu,گاهی اوقات,now and then,Ab und zu gehe ich ins Kino.,گاهی اوقات به سینما می‌روم.,-,(Phrase)
Autodach,سقف ماشین,car roof,Das Gepäck ist auf dem Autodach.,بار روی سقف ماشین است.,das,die Autodächer
drauf,روی آن (محاوره),on it,Er kann nicht drauf stehen.,او نمی‌تواند روی آن بایستد.,-,(Adv)
Kopfweh,سردرد,headache,Ich habe furchtbares Kopfweh.,من سردرد وحشتناکی دارم.,das,-
linke,چپ,left,Das linke Bein tut weh.,پای چپ درد می‌کند.,-,(Adj)
Narkose,بیهوشی,anesthesia,Die Operation erfolgt unter Narkose.,عمل جراحی تحت بیهوشی انجام می‌شود.,die,die Narkosen
nur noch,فقط دیگر / تنها,only ... left,Wir haben nur noch wenig Zeit.,ما فقط زمان کمی داریم.,-,(Phrase)
runternehmen,پایین آوردن / برداشتن,to take down / off,Nimm die Füße vom Tisch runter.,پاهایت را از روی میز بردار.,-,(Verb)
Schmerzmittel,مسکن,painkiller,Ich brauche ein Schmerzmittel.,من یک مسکن نیاز دارم.,das,die Schmerzmittel
Schulter,شانه,shoulder,Ich habe Schmerzen in der Schulter.,من در شانه درد دارم.,die,die Schultern
weitersehen,بعداً تصمیم گرفتن / ادامه دادن نگاه,to see what happens / continue watching,Wir werden weitersehen.,ما بعداً تصمیم می‌گیریم (ببینیم چه می‌شود).,-,(Verb)
Arbeitsunfall,حادثه کاری,work accident,Das war ein Arbeitsunfall.,آن یک حادثه کاری بود.,der,die Arbeitsunfälle
Einnahme,مصرف (دارو) / درآمد,intake / income,Achten Sie auf die Einnahme der Tabletten.,به مصرف قرص‌ها دقت کنید.,die,die Einnahmen
Forststraße,جاده جنگلی,forest road,Die Forststraße ist gesperrt.,جاده جنگلی مسدود است.,die,die Forststraßen
Geburtsdatum,تاریخ تولد,date of birth,Bitte nennen Sie Ihr Geburtsdatum.,لطفاً تاریخ تولدتان را بگویید.,das,die Geburtsdaten
Malerei,نقاشی,painting,Er interessiert sich für Malerei.,او به نقاشی علاقه‌مند است.,die,die Malereien
mitversichert,تحت پوشش بیمه (همراه),co-insured,Die Kinder sind mitversichert.,کودکان تحت پوشش بیمه (والدین) هستند.,-,(Adj)
Unfallart,نوع حادثه,type of accident,Welche Unfallart war es?,چه نوع حادثه‌ای بود؟,die,die Unfallarten
Unfallort,محل حادثه,accident scene,Die Polizei ist am Unfallort.,پلیس در محل حادثه است.,der,die Unfallorte
Unverträglichkeit,عدم تحمل / ناسازگاری,intolerance,Ich habe eine Unverträglichkeit gegen Milch.,من عدم تحمل شیر (حساسیت) دارم.,die,die Unverträglichkeiten
wie oft,چند وقت یکبار,how often,Wie oft treibst du Sport?,چند وقت یکبار ورزش می‌کنی؟,-,(Phrase)
Hausarzt,پزشک خانواده,family doctor,Gehen Sie zuerst zum Hausarzt.,اول پیش پزشک خانواده بروید.,der,die Hausärzte
Diät,رژیم غذایی,diet,Ich mache eine Diät.,من رژیم دارم.,die,die Diäten
Impfpass,کارت واکسیناسیون,vaccination card,Haben Sie Ihren Impfpass dabei?,آیا کارت واکسیناسیون خود را همراه دارید؟,der,die Impfpässe
Impfung,واکسن,vaccination,Die Impfung schützt vor Krankheiten.,واکسن از بیماری‌ها محافظت می‌کند.,die,die Impfungen
speziell,ویژه / خاص,special,Das ist ein spezielles Angebot.,این یک پیشنهاد ویژه است.,-,(Adj)
Tierhaar,موی حیوان,animal hair,Ich bin allergisch gegen Tierhaare.,من به موی حیوان حساسیت دارم.,das,die Tierhaare
Baustelle,کارگاه ساختمانی,construction site,Hier ist eine Baustelle.,اینجا یک کارگاه ساختمانی است.,die,die Baustellen
Krankenhausbett,تخت بیمارستان,hospital bed,Das Krankenhausbett ist bequem.,تخت بیمارستان راحت است.,das,die Krankenhausbetten
Trainingshose,شلوار ورزشی,sweatpants,Zieh deine Trainingshose an.,شلوار ورزشی‌ات را بپوش.,die,die Trainingshosen
verlaufen,پیش رفتن / گم شدن,to proceed / get lost,Der Termin ist gut verlaufen.,قرار خوب پیش رفت.,-,(Verb)
Gips,گچ (پزشکی),plaster cast,Er hat einen Gips am Arm.,او یک گچ روی دستش دارد.,der,die Gipse
Kulturbeutel,کیف لوازم بهداشتی,toiletry bag,Hast du deinen Kulturbeutel gepackt?,آیا کیف لوازم بهداشتی‌ات را بستی؟,der,die Kulturbeutel
wozu,برای چه,what for,Wozu brauchst du das?,این را برای چه می‌خواهی؟,-,(Adv)
Subjekt,فاعل,subject,Das Subjekt steht oft am Anfang.,فاعل اغلب در ابتدا می‌آید.,das,die Subjekte
Zweck,هدف / منظور,purpose,Was ist der Zweck dieser Übung?,هدف این تمرین چیست؟,der,die Zwecke
informieren,اطلاع دادن,to inform,Bitte informieren Sie uns.,لطفاً به ما اطلاع دهید.,-,(Verb)
Schlafmittel,قرص خواب,sleeping pill,Der Arzt verschrieb ein Schlafmittel.,پزشک یک قرص خواب تجویز کرد.,das,die Schlafmittel
Tanzkurs,کلاس رقص,dance class,Wir machen einen Tanzkurs.,ما به کلاس رقص می‌رویم.,der,die Tanzkurse
Mehrbettzimmer,اتاق چندتخته,multi-bed room,Ich liege in einem Mehrbettzimmer.,من در یک اتاق چندتخته بستری هستم.,das,die Mehrbettzimmer
operieren,عمل کردن,to operate,Der Arzt muss sofort operieren.,پزشک باید فوراً عمل کند.,-,(Verb)
fürchten,ترسیدن,to fear,Er fürchtet sich vor Hunden.,او از سگ‌ها می‌ترسد.,-,(Verb)
schwach,ضعیف,weak,Ich fühle mich schwach.,من احساس ضعف می‌کنم.,-,(Adj)
Befinden,حال و احوال,condition / state of health,Wie ist Ihr Befinden?,حال و احوالتان چطور است؟,das,-
eingehen (auf),پرداختن به / وارد شدن,to go into / respond to,Er ging auf meine Frage ein.,او به سوال من پرداخت.,-,(Verb)
Mitgefühl,همدردی,compassion,Sie zeigte großes Mitgefühl.,او همدردی زیادی نشان داد.,das,-
Patientenzimmer,اتاق بیمار,patient room,Das Patientenzimmer ist hell.,اتاق بیمار روشن است.,das,die Patientenzimmer
tief,عمیق,deep,Die Wunde ist tief.,زخم عمیق است.,-,(Adj)
Verband,پانسمان,bandage,Der Verband muss gewechselt werden.,پانسمان باید عوض شود.,der,die Verbände
Altenpfleger,پرستار سالمندان,geriatric nurse,Der Altenpfleger kümmert sich um die Senioren.,پرستار سالمندان از سالمندان مراقبت می‌کند.,der,die Altenpfleger
Arztbesuch,ویزیت پزشک,doctor's visit,Der Arztbesuch war kurz.,ویزیت پزشک کوتاه بود.,der,die Arztbesuche
Arzthelfer,دستیار پزشک,medical assistant,Der Arzthelfer nimmt Blut ab.,دستیار پزشک خون می‌گیرد.,der,die Arzthelfer
Arztpraxis,مطب پزشک,doctor's practice,Die Arztpraxis ist heute geschlossen.,مطب پزشک امروز بسته است.,die,die Arztpraxen
assistieren,دستیاری کردن / کمک کردن,to assist,Er assistiert bei der Operation.,او در عمل جراحی دستیاری می‌کند.,-,(Verb)
begleiten,همراهی کردن,to accompany,Ich begleite dich zum Arzt.,من تو را تا پزشک همراهی می‌کنیم.,-,(Verb)
betreuen,مراقبت کردن / سرپرستی کردن,to look after,Sie betreut die Kinder.,او از کودکان مراقبت می‌کند.,-,(Verb)
Bewegungsübung,تمرین حرکتی,movement exercise,Die Bewegungsübungen tun gut.,تمرین‌های حرکتی مفید هستند.,die,die Bewegungsübungen
Dokumentation,مستندسازی,documentation,Die Dokumentation ist wichtig für die Akte.,مستندسازی برای پرونده مهم است.,die,die Dokumentationen
familienfreundlich,مناسب خانواده,family-friendly,Das Hotel ist familienfreundlich.,این هتل مناسب خانواده است.,-,(Adj)
Fitnesscenter,باشگاه بدنسازی,fitness center,Ich gehe ins Fitnesscenter.,من به باشگاه بدنسازی می‌روم.,das,die Fitnesscenter
Gesundheits- und Krankenpfleger,پرستار (رسمی),nurse (registered),Er macht eine Ausbildung zum Gesundheits- und Krankenpfleger.,او در حال گذراندن دوره پرستاری است.,der,die Gesundheits- und Krankenpfleger
hilfsbedürftig,نیازمند کمک,in need of help,Alte Menschen sind oft hilfsbedürftig.,افراد مسن اغلب نیازمند کمک هستند.,-,(Adj)
Klinikum,مجتمع بیمارستانی,clinic / hospital center,Das Klinikum ist sehr groß.,مجتمع بیمارستانی خیلی بزرگ است.,das,die Kliniken
körperlich,جسمانی / بدنی,physical,Die Arbeit ist körperlich anstrengend.,کار از نظر جسمانی خسته‌کننده است.,-,(Adj)
Körperpflege,بهداشت فردی,personal hygiene,Körperpflege ist wichtig für die Gesundheit.,بهداشت فردی برای سلامتی مهم است.,die,-
Krankenpfleger,پرستار مرد,male nurse,Der Krankenpfleger misst den Blutdruck.,پرستار فشار خون را اندازه می‌گیرد.,der,die Krankenpfleger
massieren,ماساژ دادن,to massage,Kannst du meinen Rücken massieren?,می‌توانی کمرم را ماساژ بدهی؟,-,(Verb)
Papierkram,کاغذبازی,paperwork,Ich hasse den ganzen Papierkram.,من از این همه کاغذبازی متنفرم.,der,-
Physiotherapeut,فیزیوتراپیست,physiotherapist,Der Physiotherapeut zeigt mir Übungen.,فیزیوتراپیست به من تمریناتی نشان می‌دهد.,der,die Physiotherapeuten
psychisch,روانی,psychological,Der Stress ist psychisch belastend.,استرس از نظر روانی فشار می‌آورد.,-,(Adj)
Rollstuhl,ویلچر / صندلی چرخدار,wheelchair,Er sitzt im Rollstuhl.,او روی ویلچر می‌نشیند.,der,die Rollstühle
Rückenschmerz,کمردرد,back pain,Ich habe starke Rückenschmerzen.,من کمردرد شدید دارم.,der,die Rückenschmerzen
Schichtdienst,کار نوبتی / شیفتی,shift work,Krankenschwestern arbeiten oft im Schichtdienst.,پرستاران اغلب شیفتی کار می‌کنند.,der,die Schichtdienste
Sprechstunde,ساعات ویزیت / مشاوره,consultation hour,Die Sprechstunde ist von 8 bis 12.,ساعات ویزیت از ۸ تا ۱۲ است.,die,die Sprechstunden
stabil,پایدار / باثبات,stable,Der Zustand des Patienten ist stabil.,وضعیت بیمار پایدار است.,-,(Adj)
versorgen,تأمین کردن / رسیدگی کردن,to provide / care for,Die Wunde muss versorgt werden.,زخم باید رسیدگی (پانسمان) شود.,-,(Verb)
