Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
Merkblatt,برگه راهنما,leaflet / info sheet,Lies das Merkblatt aufmerksam durch.,برگه راهنما را با دقت بخوان.,Neutral,,das,die Merkblätter
möglicherweise,احتمالاً,possibly,Möglicherweise komme ich später.,احتمالاً دیرتر می‌آیم.,Neutral,,-,-
Sprachkenntnisse,دانش زبانی,language skills,Er hat gute Sprachkenntnisse in Englisch.,او دانش زبانی خوبی در انگلیسی دارد.,Neutral,,die (Pl.),-
Übersetzung,ترجمه,translation,Die Übersetzung ist korrekt.,ترجمه صحیح است.,Neutral,,die,die Übersetzungen
Zeitraum,بازه زمانی,period of time,Der Zeitraum beträgt zwei Wochen.,بازه زمانی دو هفته است.,Neutral,,der,die Zeiträume
einreichen,ارائه دادن / تحویل دادن,to submit,Sie müssen die Unterlagen bis Freitag einreichen.,شما باید مدارک را تا جمعه تحویل دهید.,Neutral,,-,(Verb)
Nachqualifizierung,کسب صلاحیت مجدد/تکمیلی,further training,Er macht eine Nachqualifizierung.,او در حال گذراندن دوره کسب صلاحیت تکمیلی است.,Neutral,,die,die Nachqualifizierungen
Primarschule,دبستان,primary school,Mein Sohn geht in die Primarschule.,پسرم به دبستان می‌رود.,Neutral,,die,die Primarschulen
Schulbildung,تحصیلات مدرسه‌ای,school education,Schulbildung ist sehr wichtig.,تحصیلات مدرسه‌ای بسیار مهم است.,Neutral,,die,-
Sekundarschule,مدرسه متوسطه,secondary school,Nach der Primarschule kommt die Sekundarschule.,بعد از دبستان، مدرسه متوسطه می‌آید.,Neutral,,die,die Sekundarschulen
Asylantrag,درخواست پناهندگی,asylum application,Er hat einen Asylantrag gestellt.,او درخواست پناهندگی داد.,Neutral,,der,die Asylanträge
stellen (Antrag),ارائه دادن (درخواست),to file / submit,Sie können hier einen Antrag stellen.,شما می‌توانید اینجا درخواست دهید.,Neutral,,-,(Verb)
Ablauf,روند / جریان,process / procedure,Der Ablauf der Prüfung ist einfach.,روند امتحان ساده است.,Neutral,,der,die Abläufe
Altenpflege,مراقبت از سالمندان,geriatric care,Sie arbeitet in der Altenpflege.,او در بخش مراقبت از سالمندان کار می‌کند.,Neutral,,die,-
auftreten,ظاهر شدن / رخ دادن,to occur / appear,Es sind Probleme aufgetreten.,مشکلاتی رخ داده است.,Neutral,,-,(Verb)
auschecken,تسویه حساب کردن (هتل),to check out,Wir müssen bis 11 Uhr auschecken.,ما باید تا ساعت ۱۱ تسویه حساب کنیم.,Neutral,,-,(Verb)
Bildung,آموزش / تحصیلات,education,Bildung ist der Schlüssel zum Erfolg.,آموزش کلید موفقیت است.,Neutral,,die,-
Einzelteil,قطعه تکی,individual part,Das Gerät besteht aus vielen Einzelteilen.,دستگاه از قطعات تکی زیادی تشکیل شده است.,Neutral,,das,die Einzelteile
entgegennehmen,دریافت کردن / پذیرفتن,to receive / accept,Er nimmt den Preis entgegen.,او جایزه را دریافت می‌کند.,Neutral,,-,(Verb)
Fahrgast,مسافر,passenger,Der Fahrgast hat keine Fahrkarte.,مسافر بلیط ندارد.,Neutral,,der,die Fahrgäste
Gastronomie,صنعت پذیرایی,gastronomy,Er arbeitet in der Gastronomie.,او در صنعت رستوران‌داری کار می‌کند.,Neutral,,die,die Gastronomien
Geschäftsbrief,نامه تجاری,business letter,Ich schreibe einen Geschäftsbrief.,من یک نامه تجاری می‌نویسم.,Neutral,,der,die Geschäftsbriefe
Hotelgast,مهمان هتل,hotel guest,Der Hotelgast beschwert sich.,مهمان هتل شکایت می‌کند.,Neutral,,der,die Hotelgäste
kosmetisch,آرایشی / زیبایی,cosmetic,Das ist ein kosmetisches Problem.,این یک مشکل زیبایی است.,Neutral,,-,(Adj)
Krankenpflege,پرستاری,nursing,Krankenpflege ist ein anstrengender Beruf.,پرستاری شغل سختی است.,Neutral,,die,-
montieren,نصب کردن / مونتاژ کردن,to assemble / mount,Er montiert das Regal.,او قفسه را نصب می‌کند.,Neutral,,-,(Verb)
Oberbegriff,واژه کلی / سرفصل,generic term,"Obst" ist der Oberbegriff für Äpfel und Birnen.,"میوه" واژه کلی برای سیب و گلابی است.,Neutral,,der,die Oberbegriffe
Schönheit,زیبایی,beauty,Wahre Schönheit kommt von innen.,زیبایی واقعی از درون می‌آید.,Neutral,,die,-
Verwaltung,مدیریت / بخش اداری,administration,Sie arbeitet in der Verwaltung.,او در بخش اداری کار می‌کند.,Neutral,,die,die Verwaltungen
Wellnessprodukt,محصول سلامتی/اسپا,wellness product,Wir verkaufen Wellnessprodukte.,ما محصولات سلامتی می‌فروشیم.,Neutral,,das,die Wellnessprodukte
zusammenbauen,سرهم کردن,to assemble,Ich muss den Schrank zusammenbauen.,من باید کمد را سرهم کنم.,Neutral,,-,(Verb)
einfallen,به یاد آمدن,to come to mind,Mir fällt der Name nicht ein.,اسم به یادم نمی‌آید.,Neutral,,-,(Verb)
Gebäude,ساختمان,building,Das Gebäude ist sehr alt.,ساختمان خیلی قدیمی است.,Neutral,,das,die Gebäude
auf keinen Fall,به هیچ وجه,under no circumstances,Das mache ich auf keinen Fall.,من به هیچ وجه این کار را نمی‌کنم.,Neutral,,-,(Phrase)
bewerten,ارزیابی کردن,to evaluate,Bitte bewerten Sie den Service.,لطفا خدمات را ارزیابی کنید.,Neutral,,-,(Verb)
Stern,ستاره,star,Das Hotel hat fünf Sterne.,هتل پنج ستاره دارد.,Neutral,,der,die Sterne
Berufsbereich,حوزه شغلی,occupational area,In welchem Berufsbereich möchtest du arbeiten?,در کدام حوزه شغلی می‌خواهی کار کنی؟,Neutral,,der,die Berufsbereiche
einander,یکدیگر / همدیگر,each other,Wir helfen einander.,ما به یکدیگر کمک می‌کنیم.,Neutral,,-,(Pron)
Vorliebe,علاقه / ترجیح,preference,Ich habe eine Vorliebe für italienisches Essen.,من به غذای ایتالیایی علاقه دارم.,Neutral,,die,die Vorlieben
orientieren (sich),جهت‌یابی کردن / خود را وفق دادن,to orientate oneself / reorient,Ich möchte mich beruflich neu orientieren.,من می‌خواهم شغلی جدید برای خودم پیدا کنم (تغییر مسیر دهم).,Neutral,,-,(Verb)
was für ein,چه نوع / چه جور,what kind of,Was für ein Auto fährst du?,چه ماشینی می‌رانی؟,Neutral,,-,(Phrase)
Feuerwehr,آتش‌نشانی,fire department,Die Feuerwehr war schnell da.,آتش‌نشانی سریع رسید.,Neutral,,die,die Feuerwehren
Ehrenamt,کار داوطلبانه / افتخاری,honorary office / volunteer work,Er übt ein Ehrenamt aus.,او یک کار داوطلبانه انجام می‌دهد.,Neutral,,das,die Ehrenämter
Radiobeitrag,گزارش رادیویی,radio report,Ich habe einen interessanten Radiobeitrag gehört.,من یک گزارش رادیویی جالب شنیدم.,Neutral,,der,die Radiobeiträge
ehrenamtlich,داوطلبانه / افتخاری,voluntary / honorary,Sie arbeitet ehrenamtlich im Tierheim.,او به صورت داوطلبانه در پناهگاه حیوانات کار می‌کند.,Neutral,,-,(Adj)
Engagement,مشارکت / تعهد,commitment / engagement,Ihr soziales Engagement ist vorbildlich.,مشارکت اجتماعی او نمونه است.,Neutral,,das,-
Statement,بیانیه / اظهار نظر,statement,Der Politiker gab ein Statement ab.,سیاستمدار بیانیه‌ای صادر کرد.,Neutral,,das,die Statements
Amateur-Schauspieler,بازیگر آماتور,amateur actor,Er ist ein talentierter Amateur-Schauspieler.,او یک بازیگر آماتور بااستعداد است.,Neutral,,der,die Amateur-Schauspieler
ausliefern,تحویل دادن / توزیع کردن,to deliver,Wir liefern die Ware morgen aus.,ما کالا را فردا تحویل می‌دهیم.,Neutral,,-,(Verb)
behindert,معلول / ناتوان,disabled,Der Zugang ist für behinderte Menschen geeignet.,دسترسی برای افراد معلول مناسب است.,Neutral,,-,(Adj)
Belohnung,پاداش / جایزه,reward,Als Belohnung bekam er Schokolade.,به عنوان پاداش او شکلات گرفت.,Neutral,,die,die Belohnungen
Betreuer,سرپرست / مراقب,supervisor / caregiver,Der Betreuer kümmert sich um die Gruppe.,سرپرست از گروه مراقبت می‌کند.,Neutral,,der,die Betreuer
Bevölkerung,جمعیت / مردم,population,Die Bevölkerung wächst.,جمعیت در حال رشد است.,Neutral,,die,die Bevölkerungen
Bürger,شهروند,citizen,Jeder Bürger hat Rechte und Pflichten.,هر شهروند حقوق و وظایفی دارد.,Neutral,,der,die Bürger
ca. (circa),تقریباً / حدود,approx. (approximately),Ich arbeite ca. 8 Stunden am Tag.,من حدود ۸ ساعت در روز کار می‌کنیم.,Neutral,,-,(Abkürzung)
Dienststelle,محل خدمت / اداره,office / department,Er meldet sich bei seiner Dienststelle.,او خود را به محل خدمتش معرفی می‌کند.,Neutral,,die,die Dienststellen
ebenso,همچنین / همینطور,likewise / just as,Ich wünsche Ihnen ebenso einen schönen Tag.,من هم برای شما روز خوبی آرزو می‌کنم.,Neutral,,-,(Adv)
ehrenwert,شریف / قابل احترام,honorable,Das ist ein ehrenwerter Beruf.,این یک شغل شریف است.,Neutral,,-,(Adj)
eindrucksvoll,تأثیرگذار / چشمگیر,impressive,Das Gebäude ist eindrucksvoll.,ساختمان تأثیرگذار است.,Neutral,,-,(Adj)
einsetzen (sich für),تلاش کردن برای / حمایت کردن از,to advocate for / commit to,Ich habe mich für dieses Projekt eingesetzt.,من برای این پروژه تلاش کردم.,Neutral,für + A,,-
Geselligkeit,هم‌نشینی / معاشرت,sociability / conviviality,Er liebt die Geselligkeit.,او عاشق معاشرت است.,Neutral,,die,-
Gesellschaft,جامعه / شرکت,society / company,Wir leben in einer modernen Gesellschaft.,ما در یک جامعه مدرن زندگی می‌کنیم.,Neutral,,die,die Gesellschaften
gesellschaftlich,اجتماعی,social / societal,Das ist ein gesellschaftliches Problem.,این یک مشکل اجتماعی است.,Neutral,,-,(Adj)
Lächeln,لبخند,smile,Sie hat ein schönes Lächeln.,او لبخند زیبایی دارد.,Neutral,,das,-
Milliarde,میلیارد,billion,Die Weltbevölkerung beträgt über 7 Milliarden.,جمعیت جهان بیش از ۷ میلیارد نفر است.,Neutral,,die,die Milliarden
mitgestalten,مشارکت در طراحی/شکل‌دهی,to help shape / co-design,Wir wollen die Zukunft mitgestalten.,ما می‌خواهیم در شکل‌دهی آینده مشارکت کنیم.,Neutral,,-,(Verb)
Mitmensch,هم‌نوع / دیگران,fellow human being,Wir sollten auf unsere Mitmenschen achten.,ما باید به هم‌نوعان خود توجه کنیم.,Neutral,,der,die Mitmenschen
opfern,قربانی کردن / فدا کردن,to sacrifice,Er hat viel Zeit geopfert.,او زمان زیادی را فدا کرد.,Neutral,,-,(Verb)
Semester,ترم تحصیلی,semester,Ich bin im dritten Semester.,من در ترم سوم هستم.,Neutral,,das,die Semester
Seniorenbetreuer,مراقب سالمندان,senior citizen carer,Der Seniorenbetreuer liest vor.,مراقب سالمندان کتاب می‌خواند.,Neutral,,der,die Seniorenbetreuer
Studie,مطالعه / پژوهش,study,Eine neue Studie zeigt, dass ...,یک مطالعه جدید نشان می‌دهد که ...,Neutral,,die,die Studien
trotz,با وجود / علی‌رغم,despite,Trotz des Regens gehen wir spazieren.,با وجود باران ما به پیاده‌روی می‌رویم.,Neutral,,-,(Präp + G)
Übersetzer,مترجم (کتبی),translator,Er arbeitet als Übersetzer.,او به عنوان مترجم کار می‌کند.,Neutral,,der,die Übersetzer
verleihen,قرض دادن / اهدا کردن,to lend / award,Kannst du mir dein Buch verleihen?,می‌توانی کتابت را به من قرض بدهی؟,Neutral,,-,(Verb)
wegen,به خاطر / به دلیل,because of,Wegen des Sturms bleiben wir zu Hause.,به خاطر طوفان در خانه می‌مانیم.,Neutral,,-,(Präp + G)
zusammenkommen,گردهم آمدن / جمع شدن,to come together / meet,Die Familie kommt zu Weihnachten zusammen.,خانواده برای کریسمس دور هم جمع می‌شوند.,Neutral,,-,(Verb)
Genitiv,مضاف‌الیه (حالت دستوری),genitive,"Des Mannes" ist Genitiv.,"Des Mannes" حالت مضاف‌الیه است.,Neutral,,der,die Genitive
Sommerzeit,ساعت تابستانی / وقت تابستان,summer time,Die Uhr wird auf Sommerzeit umgestellt.,ساعت به وقت تابستانی تغییر می‌کند.,Neutral,,die,die Sommerzeiten
Ersatzteil,قطعه یدکی,spare part,Ich brauche ein Ersatzteil für mein Auto.,من به یک قطعه یدکی برای ماشینم نیاز دارم.,Neutral,,das,die Ersatzteile
Kinderheim,پرورشگاه / خانه کودکان,children's home,Er ist im Kinderheim aufgewachsen.,او در پرورشگاه بزرگ شده است.,Neutral,,das,die Kinderheime
verhalten (sich),رفتار کردن,to behave,Er hat sich gut verhalten.,او خوب رفتار کرد.,Neutral,,-,(Verb)
allerdings,البته / اما,however / though,Das ist allerdings wahr.,البته این درست است.,Neutral,,-,(Adv)
Einhaltung,رعایت / پایبندی,compliance / adherence,Die Einhaltung der Regeln ist wichtig.,رعایت قوانین مهم است.,Neutral,,die,die Einhaltungen
einschätzen,ارزیابی کردن / تخمین زدن,to assess / estimate,Ich kann die Situation schwer einschätzen.,من به سختی می‌توانم موقعیت را ارزیابی کنم.,Neutral,,-,(Verb)
einsetzen (Energie/Zeit),صرف کردن / به کار گرفتن,to use / employ,Ich habe meine Energie für die Kinder eingesetzt.,من انرژی‌ام را برای بچه‌ها صرف کردم.,Neutral,für + A,,-
entwickeln,توسعه دادن / ایجاد کردن,to develop,Wir entwickeln eine neue Strategie.,ما یک استراتژی جدید توسعه می‌دهیم.,Neutral,,-,(Verb)
erfordern,ایجاب کردن / نیاز داشتن,to require / demand,Diese Aufgabe erfordert Geduld.,این وظیفه نیاز به صبر دارد.,Neutral,,-,(Verb)
gestalten,شکل دادن / طراحی کردن,to shape / design,Wir wollen die Zukunft gestalten.,ما می‌خواهیم آینده را شکل دهیم.,Neutral,,-,(Verb)
Heim,خانه / آسایشگاه,home / institution,Er wohnt in einem Heim.,او در یک آسایشگاه زندگی می‌کند.,Neutral,,das,die Heime
jugendlich,جوان / نوجوان,youthful,Sie sieht sehr jugendlich aus.,او بسیار جوان به نظر می‌رسد.,Neutral,,-,(Adj)
kämpfen,جنگیدن / مبارزه کردن,to fight,Wir müssen für unsere Rechte kämpfen.,ما باید برای حقوقمان بجنگیم.,Neutral,,-,(Verb)
konkret,مشخص / ملموس,concrete / specific,Hast du einen konkreten Plan?,آیا برنامه مشخصی داری؟,Neutral,,-,(Adj)
Kraft,قدرت / نیرو,strength / power,Ich habe keine Kraft mehr.,من دیگر قدرتی ندارم.,Neutral,,die,die Kräfte
möglichst,تا حد امکان,as ... as possible,Komm bitte möglichst bald.,لطفاً تا حد امکان زود بیا.,Neutral,,-,(Adv)
verlassen (sich auf),اعتماد کردن / تکیه کردن,to rely on,Ich habe mich auf meinen Freund verlassen.,من به دوستم اعتماد کردم.,Neutral,auf + A,,-
verpflichten (sich),متعهد شدن,to commit / obligate oneself,Er hat sich für zwei Jahre verpflichtet.,او برای دو سال متعهد شد.,Neutral,für + A,,-
Vertretung,نمایندگی / جانشین,representation / substitute,Wer macht die Vertretung für Herrn Müller?,چه کسی جانشین آقای مولر می‌شود؟,Neutral,,die,die Vertretungen
voneinander,از یکدیگر,from each other,Wir haben lange nichts voneinander gehört.,ما مدت زیادی از یکدیگر خبری نداشتیم.,Neutral,,-,(Adv)
woanders,جای دیگر,elsewhere,Ich möchte woanders leben.,من می‌خواهم جای دیگری زندگی کنم.,Neutral,,-,(Adv)
wünschenswert,مطلوب / شایسته,desirable,Eine schnelle Lösung wäre wünschenswert.,یک راه حل سریع مطلوب خواهد بود.,Neutral,,-,(Adj)
aufwachsen,بزرگ شدن,to grow up,Ich bin in Berlin aufgewachsen.,من در برلین بزرگ شده‌ام.,Neutral,,-,(Verb)
Genitivform,حالت مضاف‌الیه,genitive form,"Des Vaters" ist eine Genitivform.,"Des Vaters" یک حالت مضاف‌الیه است.,Neutral,,die,die Genitivformen
Wortgruppe,گروه کلمات,phrase / word group,Unterstreichen Sie die Wortgruppe.,گروه کلمات را زیرخط بکشید.,Neutral,,die,die Wortgruppen
Absage,لغو / رد,cancellation / rejection,Leider habe ich eine Absage bekommen.,متأسفانه من جواب رد گرفتم.,Neutral,,die,die Absagen
absagen,لغو کردن,to cancel,Ich muss den Termin absagen.,من باید قرار را لغو کنم.,Neutral,,-,(Verb)
bedanken (sich),تشکر کردن,to thank,Ich möchte mich für das Geschenk bedanken.,من می‌خواهم بابت هدیه تشکر کنم.,Neutral,für + A,,-
Kontrast,تضاد / کنتراست,contrast,Der Kontrast zwischen arm und reich ist groß.,تضاد بین فقیر و غنی زیاد است.,Neutral,,der,die Kontraste
umeinander,درباره یکدیگر / دور یکدیگر,about each other / around each other,Sie kümmern sich umeinander.,آن‌ها مراقب یکدیگر هستند.,Neutral,,-,(Adv)
aufpumpen,باد کردن (تایر),to pump up,Ich muss mein Fahrrad aufpumpen.,من باید دوچرخه‌ام را باد کنم.,Neutral,,-,(Verb)
Klingel,زنگ,bell,Die Klingel funktioniert nicht.,زنگ کار نمی‌کند.,Neutral,,die,die Klingeln
Lenker,فرمان (دوچرخه),handlebar,Halte den Lenker gut fest.,فرمان را محکم نگه دار.,Neutral,,der,die Lenker
Pumpe,تلمبه / پمپ,pump,Wo ist die Luftpumpe?,تلمبه کجاست؟,Neutral,,die,die Pumpen
mithilfe,با کمک,with the help of,Mithilfe eines Freundes habe ich das Auto repariert.,با کمک یک دوست ماشین را تعمیر کردم.,Neutral,,-,(Präp + G)
freihalten,آزاد نگه داشتن / مسدود نکردن,to keep free / clear,Bitte die Ausfahrt freihalten.,لطفاً خروجی را مسدود نکنید.,Neutral,,-,(Verb)
anbringen,نصب کردن,to attach / install,Wir müssen das Regal anbringen.,ما باید قفسه را نصب کنیم.,Neutral,,-,(Verb)
anstreichen,رنگ کردن (دیوار),to paint,Wir streichen die Wände an.,ما دیوارها را رنگ می‌کنیم.,Neutral,,-,(Verb)
auswechseln,تعویض کردن,to exchange / replace,Ich muss die Glühbirne auswechseln.,من باید لامپ را عوض کنم.,Neutral,,-,(Verb)
Rücklicht,چراغ عقب,rear light,Das Rücklicht ist kaputt.,چراغ عقب خراب است.,Neutral,,das,die Rücklichter
Kinderfest,جشن کودکان,children's party,Wir organisieren ein Kinderfest.,ما یک جشن کودکان برگزار می‌کنیم.,Neutral,,das,die Kinderfeste
halten (für),دانستن / پنداشتن,to consider / think of as,Das halte ich für eine gute Idee.,من این را ایده خوبی می‌دانم.,Neutral,für + A,,-
Kategorie,دسته / گروه,category,In welche Kategorie gehört das?,این در کدام دسته قرار می‌گیرد؟,Neutral,,die,die Kategorien
Mitarbeit,همکاری,cooperation / participation,Vielen Dank für Ihre Mitarbeit.,ممنون بابت همکاری شما.,Neutral,,die,-
Projektleiter,مدیر پروژه,project manager,Der Projektleiter plant das Meeting.,مدیر پروژه جلسه را برنامه‌ریزی می‌کند.,Neutral,,der,die Projektleiter
erschöpft,خسته / فرسوده,exhausted,Nach der Arbeit bin ich erschöpft.,بعد از کار خسته هستم.,Neutral,,-,(Adj)
extrem,شدید / افراطی,extreme,Das Wetter ist extrem heiß.,هوا شدیداً گرم است.,Neutral,,-,(Adj)
geschafft,تمام شده / خسته (محاوره),done / exhausted,Endlich geschafft!,بالاخره تمام شد!,Neutral,,-,(Adj)
Kram,خرت و پرت / وسایل,stuff / junk,Räum deinen Kram weg.,وسایلت را جمع کن.,Neutral,,der,-
Zuhause,خانه / کاشانه,home,Ich fühle mich hier wie zu Hause.,من اینجا احساس در خانه بودن می‌کنم.,Neutral,,das,-
Musiklehrer,معلم موسیقی,music teacher,Der Musiklehrer spielt Klavier.,معلم موسیقی پیانو می‌زند.,Neutral,,der,die Musiklehrer
drehen (Film),فیلمبرداری کردن,to shoot (a film),Sie drehen einen neuen Film.,آن‌ها در حال فیلمبرداری یک فیلم جدید هستند.,Neutral,,-,(Verb)
Videofilm,فیلم ویدیویی,video film,Wir schauen einen Videofilm.,ما یک فیلم ویدیویی تماشا می‌کنیم.,Neutral,,der,die Videofilme
Motiv,سوژه / انگیزه,motif / subject / motive,Das ist ein schönes Motiv für ein Foto.,این یک سوژه زیبا برای عکس است.,Neutral,,das,die Motive
Wanderverein,انجمن کوهنوردی/پیاده‌روی,hiking club,Er ist Mitglied im Wanderverein.,او عضو انجمن کوهنوردی است.,Neutral,,der,die Wandervereine
Reportage,گزارش (مستند),reportage,Die Reportage war sehr interessant.,گزارش خیلی جالب بود.,Neutral,,die,die Reportagen
treiben (Sport),انجام دادن (ورزش),to do (sports),Treibst du Sport?,آیا ورزش می‌کنی؟,Neutral,,-,(Verb)
anzünden,روشن کردن (آتش/شمع),to light / ignite,Er zündet eine Kerze an.,او یک شمع روشن می‌کند.,Neutral,,-,(Verb)
Bonbon-Papier,کاغذ آبنبات,candy wrapper,Werf das Bonbon-Papier in den Müll.,کاغذ آبنبات را در سطل زباله بینداز.,Neutral,,das,die Bonbon-Papiere
Faschingskostüm,لباس کارناوال,carnival costume,Dein Faschingskostüm ist lustig.,لباس کارناوال تو بامزه است.,Neutral,,das,die Faschingskostüme
prämieren,جایزه دادن,to award a prize,Das beste Kostüm wird prämiert.,به بهترین لباس جایزه داده می‌شود.,Neutral,,-,(Verb)
witzig,بامزه / خنده‌دار,funny,Der Clown war sehr witzig.,دلقک خیلی بامزه بود.,Neutral,,-,(Adj)
Zirkusnummer,نمایش سیرک,circus act,Die Zirkusnummer mit den Löwen war gefährlich.,نمایش سیرک با شیرها خطرناک بود.,Neutral,,die,die Zirkusnummern
attraktiv,جذاب,attractive,Das Angebot ist sehr attraktiv.,پیشنهاد بسیار جذاب است.,Neutral,,-,(Adj)
Aussicht,منظره / چشم‌انداز,view / prospect,Die Aussicht vom Turm ist toll.,منظره از برج عالی است.,Neutral,,die,die Aussichten
Bürgerinitiative,ابتکار شهروندی,citizens' initiative,Die Bürgerinitiative kämpft gegen den Lärm.,ابتکار شهروندی علیه سر و صدا مبارزه می‌کند.,Neutral,,die,die Bürgerinitiativen
deswegen,به همین دلیل,therefore / that's why,Ich war krank, deswegen konnte ich nicht kommen.,من بیمار بودم، به همین دلیل نتوانستم بیایم.,Neutral,,-,(Adv)
Einweihungsparty,جشن افتتاحیه / جشن خانه نویی,housewarming party,Wir feiern eine Einweihungsparty.,ما جشن خانه نویی می‌گیریم.,Neutral,,die,die Einweihungspartys
Freizeitangebot,امکانات تفریحی,leisure activity offer,Das Freizeitangebot in der Stadt ist groß.,امکانات تفریحی در شهر زیاد است.,Neutral,,das,die Freizeitangebote
Gemeinde,شهرداری / بخش / جماعت,municipality / community,Die Gemeinde plant einen neuen Park.,شهرداری پارک جدیدی برنامه‌ریزی می‌کند.,Neutral,,die,die Gemeinden
Infrastruktur,زیرساخت,infrastructure,Die Infrastruktur muss verbessert werden.,زیرساخت باید بهبود یابد.,Neutral,,die,die Infrastrukturen
Integration,ادغام / یکپارچگی,integration,Integration ist ein wichtiges Thema.,ادغام موضوع مهمی است.,Neutral,,die,-
Jugend-Bücherei,کتابخانه جوانان,youth library,In der Jugend-Bücherei gibt es viele Comics.,در کتابخانه جوانان کمیک‌های زیادی وجود دارد.,Neutral,,die,die Jugend-Büchereien
Jugendclub,کلوپ جوانان,youth club,Wir treffen uns im Jugendclub.,ما در کلوپ جوانان همدیگر را می‌بینیم.,Neutral,,der,die Jugendclubs
kinderreich,پرفرزند / پرجمعیت (کودکان),with many children,Das ist eine kinderreiche Familie.,این خانواده‌ای پرجمعیت (از نظر تعداد فرزند) است.,Neutral,,-,(Adj)
Krippe,مهد کودک (شیرخوارگاه),crèche / nursery,Das Baby geht in die Krippe.,نوزاد به مهد کودک (شیرخوارگاه) می‌رود.,Neutral,,die,die Krippen
Mitbürger,همشهری,fellow citizen,Wir helfen unseren Mitbürgern.,ما به همشهریان خود کمک می‌کنیم.,Neutral,,der,die Mitbürger
Prozess,فرآیند / محاکمه,process / trial,Der Prozess dauert lange.,محاکمه طولانی می‌کشد.,Neutral,,der,die Prozesse
Smog,مه دود,smog,In der Stadt gibt es oft Smog.,در شهر اغلب مه دود وجود دارد.,Neutral,,der,die Smogs
Sprachförderung,تقویت زبان,language support,Kinder brauchen Sprachförderung.,کودکان به تقویت زبان نیاز دارند.,Neutral,,die,die Sprachförderungen
Trompete,شیپور / ترومپت,trumpet,Er spielt Trompete.,او شیپور می‌زند.,Neutral,,die,die Trompeten
unterdessen,در این میان,meanwhile,Ich koche, unterdessen deckst du den Tisch.,من آشپزی می‌کنم، در این میان تو میز را می‌چینی.,Neutral,,-,(Adv)
wegziehen,اسباب‌کشی کردن (رفتن از جایی),to move away,Mein Freund will wegziehen.,دوستم می‌خواهد اسباب‌کشی کند (برود).,Neutral,,-,(Verb)
Zeilennummer,شماره سطر,line number,Beachten Sie die Zeilennummer.,به شماره سطر توجه کنید.,Neutral,,die,die Zeilennummern
befreundet,دوست (بودن),friends (with),Wir sind gut befreundet.,ما دوستان خوبی هستیم.,Neutral,,-,(Adj)
erfreuen,خوشحال کردن,to delight / please,Das Geschenk erfreut mich sehr.,هدیه مرا بسیار خوشحال می‌کند.,Neutral,,-,(Verb)
Kandidat,نامزد / کاندیدا,candidate,Der Kandidat hält eine Rede.,کاندیدا سخنرانی می‌کند.,Neutral,,der,die Kandidaten
Praktikant,کارآموز,intern,Der Praktikant lernt viel.,کارآموز چیزهای زیادی یاد می‌گیرد.,Neutral,,der,die Praktikanten
Wochenblatt,هفته‌نامه,weekly paper,Das Wochenblatt kommt jeden Freitag.,هفته‌نامه هر جمعه می‌آید.,Neutral,,das,die Wochenblätter
abwarten,صبر کردن / منتظر ماندن,to wait and see,Wir müssen das Ergebnis abwarten.,ما باید منتظر نتیجه بمانیم.,Neutral,,-,(Verb)
bereits,قبلاً / پیش از این,already,Ich habe das bereits erledigt.,من این کار را قبلاً انجام داده‌ام.,Neutral,,-,(Adv)
beschränkt,محدود,limited,Die Teilnehmerzahl ist beschränkt.,تعداد شرکت‌کنندگان محدود است.,Neutral,,-,(Adj)
bestehen (Möglichkeit),وجود داشتن,to exist,Es besteht die Möglichkeit, am Kurs teilzunehmen.,امکان شرکت در دوره وجود دارد.,Neutral,,-,(Verb)
Blasinstrument,ساز بادی,wind instrument,Die Flöte ist ein Blasinstrument.,فلوت یک ساز بادی است.,Neutral,,das,die Blasinstrumente
Donnerstagnachmittag,پنجشنبه بعدازظهر,Thursday afternoon,Am Donnerstagnachmittag habe ich frei.,پنجشنبه بعدازظهر آزاد هستم.,Neutral,,der,die Donnerstagnachmittage
Dozent,استاد / مدرس,lecturer,Der Dozent erklärt das Thema gut.,استاد موضوع را خوب توضیح می‌دهد.,Neutral,,der,die Dozenten
Einverständnis,موافقت / رضایت,consent,Ich brauche dein Einverständnis.,من به موافقت تو نیاز دارم.,Neutral,,das,-
Etage,طبقه,floor / storey,Wir wohnen in der ersten Etage.,ما در طبقه اول زندگی می‌کنیم.,Neutral,,die,die Etagen
festlegen,تعیین کردن / مشخص کردن,to determine / set,Wir müssen einen Termin festlegen.,ما باید قراری تعیین کنیم.,Neutral,,-,(Verb)
Fortgeschrittenenkurs,دوره پیشرفته,advanced course,Der Fortgeschrittenenkurs ist schwer.,دوره پیشرفته سخت است.,Neutral,,der,die Fortgeschrittenenkurse
Fortsetzung,ادامه,continuation / sequel,Die Fortsetzung des Films kommt bald.,ادامه فیلم به زودی می‌آید.,Neutral,,die,die Fortsetzungen
Grundkurs,دوره مقدماتی,basic course,Der Grundkurs ist für Anfänger.,دوره مقدماتی برای مبتدیان است.,Neutral,,der,die Grundkurse
umfassen,شامل بودن,to include / comprise,Das Buch umfasst 300 Seiten.,کتاب شامل ۳۰۰ صفحه است.,Neutral,,-,(Verb)
